local,raca_cor,ano,genero,renda_media_mensal
Ceará,Total,2016,Fem,"1.650,75"
Ceará,Total,2015,Fem,"1.665,50"
Ceará,Total,2017,Fem,"1.665,75"
Ceará,Total,2014,Fem,"1.676,25"
Ceará,Total,2022,Fem,"1.702,50"
Ceará,Total,2023,Fem,"1.740,67"
Ceará,Total,2013,Fem,"1.721,50"
Ceará,Total,2018,Fem,"1.698,00"
Ceará,Total,2019,Fem,"1.767,25"
Fortaleza,Total,2012,Fem,"2.203,50"
Fortaleza,Total,2016,Fem,"2.211,50"
Fortaleza,Total,2022,Fem,"2.268,75"
Fortaleza,Total,2023,Fem,"2.288,33"
Fortaleza,Total,2015,Fem,"2.248,50"
Fortaleza,Total,2017,Fem,"2.265,75"
Fortaleza,Total,2014,Fem,"2.293,00"
Fortaleza,Total,2013,Fem,"2.422,75"
Fortaleza,Total,2018,Fem,"2.355,00"
Fortaleza,Total,2019,Fem,"2.418,75"
Nordeste,Total,2012,Fem,"1.607,25"
Nordeste,Total,2016,Fem,"1.691,75"
Nordeste,Total,2022,Fem,"1.713,00"
Nordeste,Total,2015,Fem,"1.707,50"
Nordeste,Total,2013,Fem,"1.677,50"
Nordeste,Total,2017,Fem,"1.732,25"
Nordeste,Total,2023,Fem,"1.794,00"
Nordeste,Total,2014,Fem,"1.728,25"
Nordeste,Total,2019,Fem,"1.757,50"
Nordeste,Total,2018,Fem,"1.770,25"
