local,idade,ano,genero,media_anos_estudo
Nordeste,25 anos ou mais,2017,Fem,"8,3"
Nordeste,25 a 39 anos,2017,Fem,"10,4"
Nordeste,40 a 59 anos,2017,Fem,8
Nordeste,60 anos ou mais,2017,Fem,"4,7"
Ceará,15 anos ou mais,2017,Fem,"8,8"
Ceará,15 a 17 anos,2017,Fem,"9,5"
Ceará,18 a 29 anos,2017,Fem,"11,1"
Ceará,18 a 24 anos,2017,Fem,"11,2"
Ceará,25 anos ou mais,2017,Fem,"8,3"
Ceará,25 a 39 anos,2017,Fem,"10,7"
Ceará,40 a 59 anos,2017,Fem,"7,9"
Ceará,60 anos ou mais,2017,Fem,"4,9"
Fortaleza,15 anos ou mais,2017,Fem,"10,4"
Fortaleza,15 a 17 anos,2017,Fem,"9,6"
Fortaleza,18 a 29 anos,2017,Fem,"11,2"
Fortaleza,18 a 24 anos,2017,Fem,"11,6"
Fortaleza,25 anos ou mais,2017,Fem,"10,3"
Fortaleza,25 a 39 anos,2017,Fem,"11,8"
Fortaleza,40 a 59 anos,2017,Fem,"9,8"
Fortaleza,60 anos ou mais,2017,Fem,"8,2"
Brasil,15 anos ou mais,2018,Total,"9,7"
Brasil,15 a 17 anos,2018,Total,"9,1"
Brasil,18 a 29 anos,2018,Total,"11,2"
Brasil,18 a 24 anos,2018,Total,"11,4"
Brasil,25 anos ou mais,2018,Total,"9,4"
Brasil,25 a 39 anos,2018,Total,"11,3"
Brasil,40 a 59 anos,2018,Total,"9,2"
Brasil,60 anos ou mais,2018,Total,"6,4"
Nordeste,15 anos ou mais,2018,Total,"8,5"
Nordeste,15 a 17 anos,2018,Total,"8,7"
Nordeste,18 a 29 anos,2018,Total,"10,6"
Nordeste,18 a 24 anos,2018,Total,"10,7"
Nordeste,25 anos ou mais,2018,Total,"8,1"
Nordeste,25 a 39 anos,2018,Total,"10,2"
Nordeste,40 a 59 anos,2018,Total,"7,7"
Nordeste,60 anos ou mais,2018,Total,"4,7"
Ceará,15 anos ou mais,2018,Total,"8,8"
