local,raca_cor,ano,genero,pessoas_nivel_escolaridade,nivel_escolaridade
Fortaleza,Total,2022,Masc,446,Médio completo ou equivalente e superior incompleto
Fortaleza,Total,2022,Masc,239,Sem instrução e fundamental incompleto ou equivalente
Fortaleza,Total,2022,Masc,173,Superior completo
Nordeste,Total,2016,Masc,3561,Fundamental completo e médio incompleto ou equivalente
Nordeste,Total,2016,Masc,5457,Médio completo ou equivalente e superior incompleto
Nordeste,Total,2016,Masc,10517,Sem instrução e fundamental incompleto ou equivalente
Nordeste,Total,2016,Masc,1249,Superior completo
Nordeste,Total,2017,Masc,3650,Fundamental completo e médio incompleto ou equivalente
Nordeste,Total,2017,Masc,5665,Médio completo ou equivalente e superior incompleto
Nordeste,Total,2017,Masc,10494,Sem instrução e fundamental incompleto ou equivalente
Nordeste,Total,2017,Masc,1324,Superior completo
Nordeste,Total,2018,Masc,3599,Fundamental completo e médio incompleto ou equivalente
Nordeste,Total,2018,Masc,6023,Médio completo ou equivalente e superior incompleto
Nordeste,Total,2018,Masc,10299,Sem instrução e fundamental incompleto ou equivalente
Nordeste,Total,2018,Masc,1500,Superior completo
Nordeste,Total,2019,Masc,3634,Fundamental completo e médio incompleto ou equivalente
Nordeste,Total,2019,Masc,6139,Médio completo ou equivalente e superior incompleto
Nordeste,Total,2019,Masc,10129,Sem instrução e fundamental incompleto ou equivalente
Nordeste,Total,2019,Masc,1657,Superior completo
Nordeste,Total,2022,Masc,3769,Fundamental completo e médio incompleto ou equivalente
Nordeste,Total,2022,Masc,6914,Médio completo ou equivalente e superior incompleto
Nordeste,Total,2022,Masc,9500,Sem instrução e fundamental incompleto ou equivalente
Nordeste,Total,2022,Masc,1791,Superior completo
Brasil,Total,2016,Total,29999,Fundamental completo e médio incompleto ou equivalente
Brasil,Total,2016,Total,52587,Médio completo ou equivalente e superior incompleto
Brasil,Total,2016,Total,59767,Sem instrução e fundamental incompleto ou equivalente
Brasil,Total,2016,Total,20295,Superior completo
Brasil,Total,2017,Total,29814,Fundamental completo e médio incompleto ou equivalente
Brasil,Total,2017,Total,54326,Médio completo ou equivalente e superior incompleto
Brasil,Total,2017,Total,59223,Sem instrução e fundamental incompleto ou equivalente
Brasil,Total,2017,Total,21183,Superior completo
Brasil,Total,2018,Total,29232,Fundamental completo e médio incompleto ou equivalente
Brasil,Total,2018,Total,56106,Médio completo ou equivalente e superior incompleto
Brasil,Total,2018,Total,58386,Sem instrução e fundamental incompleto ou equivalente
Brasil,Total,2018,Total,22629,Superior completo
Brasil,Total,2019,Total,29164,Fundamental completo e médio incompleto ou equivalente
Brasil,Total,2019,Total,57845,Médio completo ou equivalente e superior incompleto
Brasil,Total,2019,Total,56870,Sem instrução e fundamental incompleto ou equivalente
Brasil,Total,2019,Total,24248,Superior completo
Brasil,Total,2022,Total,29489,Fundamental completo e médio incompleto ou equivalente
Brasil,Total,2022,Total,62029,Médio completo ou equivalente e superior incompleto
Brasil,Total,2022,Total,53842,Sem instrução e fundamental incompleto ou equivalente
Brasil,Total,2022,Total,27707,Superior completo
Ceará,Total,2016,Total,1381,Fundamental completo e médio incompleto ou equivalente
Ceará,Total,2016,Total,2024,Médio completo ou equivalente e superior incompleto
Ceará,Total,2016,Total,3095,Sem instrução e fundamental incompleto ou equivalente
Ceará,Total,2016,Total,491,Superior completo
Ceará,Total,2017,Total,1359,Fundamental completo e médio incompleto ou equivalente
Ceará,Total,2017,Total,2144,Médio completo ou equivalente e superior incompleto
Ceará,Total,2017,Total,3059,Sem instrução e fundamental incompleto ou equivalente
Ceará,Total,2017,Total,560,Superior completo
Ceará,Total,2018,Total,1365,Fundamental completo e médio incompleto ou equivalente
Ceará,Total,2018,Total,2252,Médio completo ou equivalente e superior incompleto
Ceará,Total,2018,Total,2927,Sem instrução e fundamental incompleto ou equivalente
Ceará,Total,2018,Total,666,Superior completo
Ceará,Total,2019,Total,1328,Fundamental completo e médio incompleto ou equivalente
Ceará,Total,2019,Total,2290,Médio completo ou equivalente e superior incompleto
Ceará,Total,2019,Total,2891,Sem instrução e fundamental incompleto ou equivalente
Ceará,Total,2019,Total,713,Superior completo
Ceará,Total,2022,Total,1338,Fundamental completo e médio incompleto ou equivalente
Ceará,Total,2022,Total,2596,Médio completo ou equivalente e superior incompleto
Ceará,Total,2022,Total,2811,Sem instrução e fundamental incompleto ou equivalente
Ceará,Total,2022,Total,795,Superior completo
Fortaleza,Total,2016,Total,445,Fundamental completo e médio incompleto ou equivalente
Fortaleza,Total,2016,Total,800,Médio completo ou equivalente e superior incompleto
Fortaleza,Total,2016,Total,585,Sem instrução e fundamental incompleto ou equivalente
Fortaleza,Total,2016,Total,266,Superior completo
Fortaleza,Total,2017,Total,407,Fundamental completo e médio incompleto ou equivalente
Fortaleza,Total,2017,Total,816,Médio completo ou equivalente e superior incompleto
Fortaleza,Total,2017,Total,604,Sem instrução e fundamental incompleto ou equivalente
