local,ano,genero,raça,nível_ensino,rend_real_habitual
Fortaleza,2014,Mulher,Branca,Médio incompleto ou equivalente,"R$ 1.037,81"
Fortaleza,2014,Mulher,Parda,Médio incompleto ou equivalente,"R$ 1.283,14"
Fortaleza,2014,Mulher,Preta,Médio incompleto ou equivalente,"R$ 1.130,30"
Fortaleza,2014,Homem,Branca,Médio completo ou equivalente,"R$ 3.039,98"
Fortaleza,2014,Homem,Outros,Médio completo ou equivalente,"R$ 2.007,69"
Fortaleza,2014,Homem,Parda,Médio completo ou equivalente,"R$ 2.544,66"
Fortaleza,2014,Homem,Preta,Médio completo ou equivalente,"R$ 2.061,61"
Fortaleza,2014,Mulher,Branca,Médio completo ou equivalente,"R$ 2.212,78"
Fortaleza,2014,Mulher,Outros,Médio completo ou equivalente,"R$ 3.010,77"
Fortaleza,2014,Mulher,Parda,Médio completo ou equivalente,"R$ 1.552,68"
Fortaleza,2014,Mulher,Preta,Médio completo ou equivalente,"R$ 1.742,05"
Fortaleza,2014,Homem,Branca,Superior incompleto ou equivalente,"R$ 3.960,27"
Fortaleza,2014,Homem,Outros,Superior incompleto ou equivalente,"R$ 7.347,76"
Fortaleza,2014,Homem,Parda,Superior incompleto ou equivalente,"R$ 2.539,14"
Fortaleza,2014,Mulher,Branca,Superior incompleto ou equivalente,"R$ 1.536,51"
Fortaleza,2014,Mulher,Outros,Superior incompleto ou equivalente,"R$ 2.459,55"
Fortaleza,2014,Mulher,Parda,Superior incompleto ou equivalente,"R$ 1.719,47"
Fortaleza,2014,Mulher,Preta,Superior incompleto ou equivalente,"R$ 1.592,67"
Fortaleza,2014,Homem,Branca,Superior completo,"R$ 10.845,47"
Fortaleza,2014,Homem,Outros,Superior completo,"R$ 18.037,50"
Fortaleza,2014,Homem,Parda,Superior completo,"R$ 7.280,05"
Fortaleza,2014,Homem,Preta,Superior completo,"R$ 5.442,86"
Fortaleza,2014,Mulher,Branca,Superior completo,"R$ 5.637,08"
Fortaleza,2014,Mulher,Outros,Superior completo,"R$ 5.668,14"
Fortaleza,2014,Mulher,Parda,Superior completo,"R$ 4.038,58"
Fortaleza,2014,Mulher,Preta,Superior completo,"R$ 1.161,32"
Fortaleza,2015,Homem,Branca,Sem instrução e menos de 1 ano de estudo,"R$ 2.296,41"
Fortaleza,2015,Homem,Parda,Sem instrução e menos de 1 ano de estudo,"R$ 1.213,51"
Fortaleza,2015,Homem,Preta,Sem instrução e menos de 1 ano de estudo,"R$ 1.266,67"
Fortaleza,2015,Mulher,Branca,Sem instrução e menos de 1 ano de estudo,"R$ 2.014,58"
Fortaleza,2015,Mulher,Parda,Sem instrução e menos de 1 ano de estudo,"R$ 903,23"
Fortaleza,2015,Mulher,Preta,Sem instrução e menos de 1 ano de estudo,"R$ 1.377,87"
Fortaleza,2015,Homem,Branca,Fundamental incompleto ou equivalente,"R$ 2.010,35"
Fortaleza,2015,Homem,Parda,Fundamental incompleto ou equivalente,"R$ 2.122,56"
Fortaleza,2015,Homem,Preta,Fundamental incompleto ou equivalente,"R$ 2.120,04"
Fortaleza,2015,Mulher,Branca,Fundamental incompleto ou equivalente,"R$ 1.121,52"
Fortaleza,2015,Mulher,Outros,Fundamental incompleto ou equivalente,"R$ 266,71"
Fortaleza,2015,Mulher,Parda,Fundamental incompleto ou equivalente,"R$ 1.124,30"
Fortaleza,2015,Mulher,Preta,Fundamental incompleto ou equivalente,"R$ 1.264,79"
Fortaleza,2015,Homem,Branca,Fundamental completo ou equivalente,"R$ 1.871,68"
Fortaleza,2015,Homem,Outros,Fundamental completo ou equivalente,"R$ 3.769,08"
Fortaleza,2015,Homem,Parda,Fundamental completo ou equivalente,"R$ 1.716,41"
Fortaleza,2015,Homem,Preta,Fundamental completo ou equivalente,"R$ 2.173,94"
Fortaleza,2015,Mulher,Branca,Fundamental completo ou equivalente,"R$ 1.328,00"
Fortaleza,2015,Mulher,Outros,Fundamental completo ou equivalente,"R$ 1.185,37"
Fortaleza,2015,Mulher,Parda,Fundamental completo ou equivalente,"R$ 1.177,93"
Fortaleza,2015,Mulher,Preta,Fundamental completo ou equivalente,"R$ 1.553,00"
Fortaleza,2015,Homem,Branca,Médio incompleto ou equivalente,"R$ 1.979,13"
Fortaleza,2015,Homem,Parda,Médio incompleto ou equivalente,"R$ 2.011,60"
Fortaleza,2015,Homem,Preta,Médio incompleto ou equivalente,"R$ 1.934,62"
Fortaleza,2015,Mulher,Branca,Médio incompleto ou equivalente,"R$ 1.251,59"
Fortaleza,2015,Mulher,Parda,Médio incompleto ou equivalente,"R$ 1.750,45"
Fortaleza,2015,Mulher,Preta,Médio incompleto ou equivalente,"R$ 835,57"
Fortaleza,2015,Homem,Branca,Médio completo ou equivalente,"R$ 3.259,61"
Fortaleza,2015,Homem,Outros,Médio completo ou equivalente,"R$ 1.256,84"
Fortaleza,2015,Homem,Parda,Médio completo ou equivalente,"R$ 2.528,89"
Fortaleza,2015,Homem,Preta,Médio completo ou equivalente,"R$ 2.179,02"
Fortaleza,2015,Mulher,Branca,Médio completo ou equivalente,"R$ 1.848,31"
Fortaleza,2015,Mulher,Outros,Médio completo ou equivalente,"R$ 1.170,03"
Fortaleza,2015,Mulher,Parda,Médio completo ou equivalente,"R$ 1.606,75"
Fortaleza,2015,Mulher,Preta,Médio completo ou equivalente,"R$ 1.521,67"
