local,raca_cor,ano,genero,notificacoes_violencia_contra_mulher
Ceará,Amarela,2016,Total,15
Ceará,Parda,2016,Total,1708
Ceará,Indigena,2016,Total,7
Ceará,Total,2016,Total,2232
Fortaleza,Ignorado,2016,Total,83
Fortaleza,Branca,2016,Total,124
Fortaleza,Preta,2016,Total,51
Fortaleza,Amarela,2016,Total,9
Fortaleza,Parda,2016,Total,830
Fortaleza,Indigena,2016,Total,3
Fortaleza,Total,2016,Total,1100
Nordeste,Ignorado,2016,Total,2865
Nordeste,Branca,2016,Total,2253
Nordeste,Preta,2016,Total,1766
Nordeste,Amarela,2016,Total,140
Nordeste,Parda,2016,Total,11278
Nordeste,Indigena,2016,Total,96
Nordeste,Total,2016,Total,18398
Brasil,Ignorado,2017,Total,15880
Brasil,Branca,2017,Total,63382
Brasil,Preta,2017,Total,13665
Brasil,Amarela,2017,Total,1198
Brasil,Parda,2017,Total,61467
Brasil,Indigena,2017,Total,1332
Brasil,Total,2017,Total,156924
Ceará,Ignorado,2017,Total,93
Ceará,Branca,2017,Total,334
Ceará,Preta,2017,Total,126
Ceará,Amarela,2017,Total,19
Ceará,Parda,2017,Total,1845
Ceará,Indigena,2017,Total,15
Ceará,Total,2017,Total,2432
Fortaleza,Ignorado,2017,Total,74
Fortaleza,Branca,2017,Total,122
Fortaleza,Preta,2017,Total,50
Fortaleza,Amarela,2017,Total,15
Fortaleza,Parda,2017,Total,728
Fortaleza,Indigena,2017,Total,2
Fortaleza,Total,2017,Total,991
Nordeste,Ignorado,2017,Total,2703
Nordeste,Branca,2017,Total,2626
Nordeste,Preta,2017,Total,2206
Nordeste,Amarela,2017,Total,257
Nordeste,Parda,2017,Total,14186
Nordeste,Indigena,2017,Total,128
Nordeste,Total,2017,Total,22106
Brasil,Ignorado,2018,Total,13692
Brasil,Branca,2018,Total,70381
Brasil,Preta,2018,Total,15720
Brasil,Amarela,2018,Total,1300
Brasil,Parda,2018,Total,74316
Brasil,Indigena,2018,Total,1606
Brasil,Total,2018,Total,177015
Ceará,Ignorado,2018,Total,83
Ceará,Branca,2018,Total,626
Ceará,Preta,2018,Total,267
Ceará,Amarela,2018,Total,21
Ceará,Parda,2018,Total,3516
Ceará,Indigena,2018,Total,22
Ceará,Total,2018,Total,4535
Fortaleza,Ignorado,2018,Total,70
Fortaleza,Branca,2018,Total,389
Fortaleza,Preta,2018,Total,165
Fortaleza,Amarela,2018,Total,20
Fortaleza,Parda,2018,Total,2042
Fortaleza,Indigena,2018,Total,13
Fortaleza,Total,2018,Total,2699
Nordeste,Ignorado,2018,Total,2304
Nordeste,Branca,2018,Total,3418
Nordeste,Preta,2018,Total,2534
Nordeste,Amarela,2018,Total,232
Nordeste,Parda,2018,Total,19127
Nordeste,Indigena,2018,Total,136
Nordeste,Total,2018,Total,27751
Brasil,Ignorado,2019,Total,12472
Brasil,Branca,2019,Total,73162
Brasil,Preta,2019,Total,17252
Brasil,Amarela,2019,Total,1335
Brasil,Parda,2019,Total,80267
Brasil,Indigena,2019,Total,1909
Brasil,Total,2019,Total,186397
Ceará,Ignorado,2019,Total,120
Ceará,Branca,2019,Total,961
Ceará,Preta,2019,Total,328
Ceará,Amarela,2019,Total,29
Ceará,Parda,2019,Total,4617
