local,raca_cor,ano,genero,idade,total_desocupacao
Brasil,Branca,2019,Total,Total,4333346
Brasil,Branca,2019,Masc,14-19,415804
Brasil,Branca,2019,Masc,20-29,721281
Brasil,Branca,2019,Masc,30-39,304758
Brasil,Branca,2019,Masc,40-49,225920
Brasil,Branca,2019,Masc,50-59,214895
Brasil,Branca,2019,Masc,60-65,59002
Brasil,Branca,2019,Masc,66+,17936
Brasil,Branca,2019,Fem,14-19,406538
Brasil,Branca,2019,Fem,20-29,875133
Brasil,Branca,2019,Fem,30-39,520265
Brasil,Branca,2019,Fem,40-49,348595
Brasil,Branca,2019,Fem,50-59,185989
Brasil,Branca,2019,Fem,60-65,28220
Brasil,Branca,2019,Fem,66+,9010
Brasil,Branca,2019,Masc,Total,1959597
Brasil,Branca,2019,Fem,Total,2373750
Brasil,Branca,2019,Total,14-19,822342
Brasil,Branca,2019,Total,20-29,1596414
Brasil,Branca,2019,Total,30-39,825023
Brasil,Branca,2019,Total,40-49,574515
Brasil,Branca,2019,Total,50-59,400884
Brasil,Branca,2019,Total,60-65,87222
Brasil,Branca,2019,Total,66+,26946
Brasil,Branca,2020,Total,Total,4951844
Brasil,Branca,2020,Masc,14-19,403028
Brasil,Branca,2020,Masc,20-29,877847
Brasil,Branca,2020,Masc,30-39,468770
Brasil,Branca,2020,Masc,40-49,310995
Brasil,Branca,2020,Masc,50-59,255959
Brasil,Branca,2020,Masc,60-65,88096
Brasil,Branca,2020,Masc,66+,19432
Brasil,Branca,2020,Fem,14-19,352347
Brasil,Branca,2020,Fem,20-29,943854
Brasil,Branca,2020,Fem,30-39,555497
Brasil,Branca,2020,Fem,40-49,388900
Brasil,Branca,2020,Fem,50-59,238472
Brasil,Branca,2020,Fem,60-65,41124
Brasil,Branca,2020,Fem,66+,7526
Brasil,Branca,2020,Masc,Total,2424126
Brasil,Branca,2020,Fem,Total,2527719
Brasil,Branca,2020,Total,14-19,755374
Brasil,Branca,2020,Total,20-29,1821700
Brasil,Branca,2020,Total,30-39,1024267
Brasil,Branca,2020,Total,40-49,699895
Brasil,Branca,2020,Total,50-59,494431
Brasil,Branca,2020,Total,60-65,129220
Brasil,Branca,2020,Total,66+,26958
Brasil,Branca,2021,Total,Total,5136973
Brasil,Branca,2021,Masc,14-19,347336
Brasil,Branca,2021,Masc,20-29,895339
Brasil,Branca,2021,Masc,30-39,412577
Brasil,Branca,2021,Masc,40-49,327205
Brasil,Branca,2021,Masc,50-59,273906
Brasil,Branca,2021,Masc,60-65,68796
Brasil,Branca,2021,Masc,66+,28381
Brasil,Branca,2021,Fem,14-19,369593
Brasil,Branca,2021,Fem,20-29,935811
Brasil,Branca,2021,Fem,30-39,651746
Brasil,Branca,2021,Fem,40-49,498962
Brasil,Branca,2021,Fem,50-59,265515
Brasil,Branca,2021,Fem,60-65,55279
Brasil,Branca,2021,Fem,66+,6527
Brasil,Branca,2021,Masc,Total,2353539
Brasil,Branca,2021,Fem,Total,2783434
Brasil,Branca,2021,Total,14-19,716929
Brasil,Branca,2021,Total,20-29,1831150
Brasil,Branca,2021,Total,30-39,1064324
Brasil,Branca,2021,Total,40-49,826167
Brasil,Branca,2021,Total,50-59,539421
Brasil,Branca,2021,Total,60-65,124075
Brasil,Branca,2021,Total,66+,34908
Brasil,Branca,2022,Total,Total,3582544
Brasil,Branca,2022,Masc,14-19,294998
Brasil,Branca,2022,Masc,20-29,546602
Brasil,Branca,2022,Masc,30-39,314202
Brasil,Branca,2022,Masc,40-49,232207
Brasil,Branca,2022,Masc,50-59,150034
Brasil,Branca,2022,Masc,60-65,48768
Brasil,Branca,2022,Masc,66+,21924
Brasil,Branca,2022,Fem,14-19,319907
Brasil,Branca,2022,Fem,20-29,670171
Brasil,Branca,2022,Fem,30-39,441274
Brasil,Branca,2022,Fem,40-49,331659
Brasil,Branca,2022,Fem,50-59,167830
Brasil,Branca,2022,Fem,60-65,32862
Brasil,Branca,2022,Fem,66+,10105
Brasil,Branca,2022,Masc,Total,1608736
Brasil,Branca,2022,Fem,Total,1973808
Brasil,Branca,2022,Total,14-19,614905
Brasil,Branca,2022,Total,20-29,1216773
Brasil,Branca,2022,Total,30-39,755476
Brasil,Branca,2022,Total,40-49,563867
Brasil,Branca,2022,Total,50-59,317864
Brasil,Branca,2022,Total,60-65,81630
Brasil,Branca,2022,Total,66+,32029
Brasil,Ignorado,2012,Total,Total,43704
Brasil,Ignorado,2012,Masc,14-19,4403
Brasil,Ignorado,2012,Masc,20-29,8561
Brasil,Ignorado,2012,Masc,30-39,2088
Brasil,Ignorado,2012,Masc,40-49,813
Brasil,Ignorado,2012,Masc,50-59,946
Brasil,Ignorado,2012,Masc,60-65,780
Brasil,Ignorado,2012,Masc,66+,581
Brasil,Ignorado,2012,Fem,14-19,4845
Brasil,Ignorado,2012,Fem,20-29,9323
Brasil,Ignorado,2012,Fem,30-39,5947
Brasil,Ignorado,2012,Fem,40-49,523
Brasil,Ignorado,2012,Fem,50-59,3092
Brasil,Ignorado,2012,Fem,60-65,1801
Brasil,Ignorado,2012,Fem,66+,0
Brasil,Ignorado,2012,Masc,Total,18172
Brasil,Ignorado,2012,Fem,Total,25531
Brasil,Ignorado,2012,Total,14-19,9248
Brasil,Ignorado,2012,Total,20-29,17883
Brasil,Ignorado,2012,Total,30-39,8035
Brasil,Ignorado,2012,Total,40-49,1337
Brasil,Ignorado,2012,Total,50-59,4038
Brasil,Ignorado,2012,Total,60-65,2581
Brasil,Ignorado,2012,Total,66+,581
Brasil,Ignorado,2013,Total,Total,49680
Brasil,Ignorado,2013,Masc,14-19,2318
Brasil,Ignorado,2013,Masc,20-29,6952
Brasil,Ignorado,2013,Masc,30-39,7746
Brasil,Ignorado,2013,Masc,40-49,4223
Brasil,Ignorado,2013,Masc,50-59,0
Brasil,Ignorado,2013,Masc,60-65,407
Brasil,Ignorado,2013,Masc,66+,233
Brasil,Ignorado,2013,Fem,14-19,2700
Brasil,Ignorado,2013,Fem,20-29,11459
Brasil,Ignorado,2013,Fem,30-39,5026
Brasil,Ignorado,2013,Fem,40-49,3828
Brasil,Ignorado,2013,Fem,50-59,2577
Brasil,Ignorado,2013,Fem,60-65,1806
Brasil,Ignorado,2013,Fem,66+,407
Brasil,Ignorado,2013,Masc,Total,21878
Brasil,Ignorado,2013,Fem,Total,27801
Brasil,Ignorado,2013,Total,14-19,5018
Brasil,Ignorado,2013,Total,20-29,18411
Brasil,Ignorado,2013,Total,30-39,12772
Brasil,Ignorado,2013,Total,40-49,8051
Brasil,Ignorado,2013,Total,50-59,2577
Brasil,Ignorado,2013,Total,60-65,2212
Brasil,Ignorado,2013,Total,66+,640
Brasil,Ignorado,2014,Total,Total,45157
Brasil,Ignorado,2014,Masc,14-19,1040
Brasil,Ignorado,2014,Masc,20-29,11214
Brasil,Ignorado,2014,Masc,30-39,5688
Brasil,Ignorado,2014,Masc,40-49,459
Brasil,Ignorado,2014,Masc,50-59,1226
Brasil,Ignorado,2014,Masc,60-65,1517
Brasil,Ignorado,2014,Masc,66+,0
Brasil,Ignorado,2014,Fem,14-19,6373
Brasil,Ignorado,2014,Fem,20-29,8113
Brasil,Ignorado,2014,Fem,30-39,736
Brasil,Ignorado,2014,Fem,40-49,3681
Brasil,Ignorado,2014,Fem,50-59,2161
Brasil,Ignorado,2014,Fem,60-65,342
Brasil,Ignorado,2014,Fem,66+,2608
Brasil,Ignorado,2014,Masc,Total,21144
Brasil,Ignorado,2014,Fem,Total,24013
Brasil,Ignorado,2014,Total,14-19,7413
Brasil,Ignorado,2014,Total,20-29,19327
Brasil,Ignorado,2014,Total,30-39,6423
Brasil,Ignorado,2014,Total,40-49,4139
Brasil,Ignorado,2014,Total,50-59,3386
Brasil,Ignorado,2014,Total,60-65,1860
Brasil,Ignorado,2014,Total,66+,2608
Brasil,Ignorado,2015,Total,Total,51029
Brasil,Ignorado,2015,Masc,14-19,3141
Brasil,Ignorado,2015,Masc,20-29,10619
Brasil,Ignorado,2015,Masc,30-39,8283
Brasil,Ignorado,2015,Masc,40-49,2045
Brasil,Ignorado,2015,Masc,50-59,2338
Brasil,Ignorado,2015,Masc,60-65,988
Brasil,Ignorado,2015,Masc,66+,0
Brasil,Ignorado,2015,Fem,14-19,8121
Brasil,Ignorado,2015,Fem,20-29,8145
Brasil,Ignorado,2015,Fem,30-39,2769
Brasil,Ignorado,2015,Fem,40-49,2089
Brasil,Ignorado,2015,Fem,50-59,1851
Brasil,Ignorado,2015,Fem,60-65,0
Brasil,Ignorado,2015,Fem,66+,641
Brasil,Ignorado,2015,Masc,Total,27414
Brasil,Ignorado,2015,Fem,Total,23615
Brasil,Ignorado,2015,Total,14-19,11262
Brasil,Ignorado,2015,Total,20-29,18764
Brasil,Ignorado,2015,Total,30-39,11051
Brasil,Ignorado,2015,Total,40-49,4134
Brasil,Ignorado,2015,Total,50-59,4188
Brasil,Ignorado,2015,Total,60-65,988
Brasil,Ignorado,2015,Total,66+,641
Brasil,Ignorado,2016,Total,Total,83063
Brasil,Ignorado,2016,Masc,14-19,1627
Brasil,Ignorado,2016,Masc,20-29,19882
Brasil,Ignorado,2016,Masc,30-39,4251
Brasil,Ignorado,2016,Masc,40-49,3138
Brasil,Ignorado,2016,Masc,50-59,4929
Brasil,Ignorado,2016,Masc,60-65,231
Brasil,Ignorado,2016,Masc,66+,128
Brasil,Ignorado,2016,Fem,14-19,8430
Brasil,Ignorado,2016,Fem,20-29,22796
Brasil,Ignorado,2016,Fem,30-39,8011
Brasil,Ignorado,2016,Fem,40-49,7450
Brasil,Ignorado,2016,Fem,50-59,2138
Brasil,Ignorado,2016,Fem,60-65,0
Brasil,Ignorado,2016,Fem,66+,53
Brasil,Ignorado,2016,Masc,Total,34186
Brasil,Ignorado,2016,Fem,Total,48877
Brasil,Ignorado,2016,Total,14-19,10056
Brasil,Ignorado,2016,Total,20-29,42678
Brasil,Ignorado,2016,Total,30-39,12262
Brasil,Ignorado,2016,Total,40-49,10588
Brasil,Ignorado,2016,Total,50-59,7067
Brasil,Ignorado,2016,Total,60-65,231
Brasil,Ignorado,2016,Total,66+,181
Brasil,Ignorado,2017,Total,Total,95219
Brasil,Ignorado,2017,Masc,14-19,3149
Brasil,Ignorado,2017,Masc,20-29,7201
Brasil,Ignorado,2017,Masc,30-39,17164
Brasil,Ignorado,2017,Masc,40-49,5249
Brasil,Ignorado,2017,Masc,50-59,6675
Brasil,Ignorado,2017,Masc,60-65,630
Brasil,Ignorado,2017,Masc,66+,285
Brasil,Ignorado,2017,Fem,14-19,9490
Brasil,Ignorado,2017,Fem,20-29,25541
Brasil,Ignorado,2017,Fem,30-39,11538
Brasil,Ignorado,2017,Fem,40-49,5551
Brasil,Ignorado,2017,Fem,50-59,2747
Brasil,Ignorado,2017,Fem,60-65,0
Brasil,Ignorado,2017,Fem,66+,0
Brasil,Ignorado,2017,Masc,Total,40353
Brasil,Ignorado,2017,Fem,Total,54866
Brasil,Ignorado,2017,Total,14-19,12639
Brasil,Ignorado,2017,Total,20-29,32742
Brasil,Ignorado,2017,Total,30-39,28702
Brasil,Ignorado,2017,Total,40-49,10800
Brasil,Ignorado,2017,Total,50-59,9421
Brasil,Ignorado,2017,Total,60-65,630
Brasil,Ignorado,2017,Total,66+,285
Brasil,Ignorado,2018,Total,Total,146286
Brasil,Ignorado,2018,Masc,14-19,3596
Brasil,Ignorado,2018,Masc,20-29,23028
Brasil,Ignorado,2018,Masc,30-39,20427
Brasil,Ignorado,2018,Masc,40-49,9268
Brasil,Ignorado,2018,Masc,50-59,6791
Brasil,Ignorado,2018,Masc,60-65,1743
Brasil,Ignorado,2018,Masc,66+,147
Brasil,Ignorado,2018,Fem,14-19,14112
Brasil,Ignorado,2018,Fem,20-29,28583
Brasil,Ignorado,2018,Fem,30-39,18819
Brasil,Ignorado,2018,Fem,40-49,7977
Brasil,Ignorado,2018,Fem,50-59,8011
Brasil,Ignorado,2018,Fem,60-65,3079
Brasil,Ignorado,2018,Fem,66+,706
Brasil,Ignorado,2018,Masc,Total,65000
Brasil,Ignorado,2018,Fem,Total,81286
Brasil,Ignorado,2018,Total,14-19,17708
Brasil,Ignorado,2018,Total,20-29,51612
Brasil,Ignorado,2018,Total,30-39,39245
Brasil,Ignorado,2018,Total,40-49,17245
Brasil,Ignorado,2018,Total,50-59,14802
Brasil,Ignorado,2018,Total,60-65,4822
Brasil,Ignorado,2018,Total,66+,853
Brasil,Ignorado,2019,Total,Total,102180
Brasil,Ignorado,2019,Masc,14-19,6336
Brasil,Ignorado,2019,Masc,20-29,8389
Brasil,Ignorado,2019,Masc,30-39,10202
Brasil,Ignorado,2019,Masc,40-49,2643
Brasil,Ignorado,2019,Masc,50-59,2737
Brasil,Ignorado,2019,Masc,60-65,889
Brasil,Ignorado,2019,Masc,66+,2769
Brasil,Ignorado,2019,Fem,14-19,7830
Brasil,Ignorado,2019,Fem,20-29,20848
Brasil,Ignorado,2019,Fem,30-39,24991
Brasil,Ignorado,2019,Fem,40-49,8554
Brasil,Ignorado,2019,Fem,50-59,5469
Brasil,Ignorado,2019,Fem,60-65,522
Brasil,Ignorado,2019,Fem,66+,0
Brasil,Ignorado,2019,Masc,Total,33966
Brasil,Ignorado,2019,Fem,Total,68215
Brasil,Ignorado,2019,Total,14-19,14166
Brasil,Ignorado,2019,Total,20-29,29238
Brasil,Ignorado,2019,Total,30-39,35194
Brasil,Ignorado,2019,Total,40-49,11197
Brasil,Ignorado,2019,Total,50-59,8206
Brasil,Ignorado,2019,Total,60-65,1411
Brasil,Ignorado,2019,Total,66+,2769
Brasil,Ignorado,2020,Total,Total,129210
Brasil,Ignorado,2020,Masc,14-19,18580
Brasil,Ignorado,2020,Masc,20-29,15146
Brasil,Ignorado,2020,Masc,30-39,11351
Brasil,Ignorado,2020,Masc,40-49,9744
Brasil,Ignorado,2020,Masc,50-59,3450
Brasil,Ignorado,2020,Masc,60-65,2283
Brasil,Ignorado,2020,Masc,66+,1740
Brasil,Ignorado,2020,Fem,14-19,5290
Brasil,Ignorado,2020,Fem,20-29,25141
Brasil,Ignorado,2020,Fem,30-39,17861
Brasil,Ignorado,2020,Fem,40-49,11282
Brasil,Ignorado,2020,Fem,50-59,2891
Brasil,Ignorado,2020,Fem,60-65,4077
Brasil,Ignorado,2020,Fem,66+,374
Brasil,Ignorado,2020,Masc,Total,62293
Brasil,Ignorado,2020,Fem,Total,66917
Brasil,Ignorado,2020,Total,14-19,23869
Brasil,Ignorado,2020,Total,20-29,40287
Brasil,Ignorado,2020,Total,30-39,29212
Brasil,Ignorado,2020,Total,40-49,21026
Brasil,Ignorado,2020,Total,50-59,6341
Brasil,Ignorado,2020,Total,60-65,6360
Brasil,Ignorado,2020,Total,66+,2114
Brasil,Ignorado,2021,Total,Total,90716
Brasil,Ignorado,2021,Masc,14-19,6495
Brasil,Ignorado,2021,Masc,20-29,16764
Brasil,Ignorado,2021,Masc,30-39,8434
Brasil,Ignorado,2021,Masc,40-49,4911
Brasil,Ignorado,2021,Masc,50-59,1220
Brasil,Ignorado,2021,Masc,60-65,440
Brasil,Ignorado,2021,Masc,66+,0
Brasil,Ignorado,2021,Fem,14-19,11403
Brasil,Ignorado,2021,Fem,20-29,18884
Brasil,Ignorado,2021,Fem,30-39,8982
Brasil,Ignorado,2021,Fem,40-49,8897
Brasil,Ignorado,2021,Fem,50-59,3789
Brasil,Ignorado,2021,Fem,60-65,496
Brasil,Ignorado,2021,Fem,66+,0
Brasil,Ignorado,2021,Masc,Total,38264
Brasil,Ignorado,2021,Fem,Total,52452
Brasil,Ignorado,2021,Total,14-19,17897
Brasil,Ignorado,2021,Total,20-29,35648
Brasil,Ignorado,2021,Total,30-39,17417
Brasil,Ignorado,2021,Total,40-49,13808
Brasil,Ignorado,2021,Total,50-59,5010
Brasil,Ignorado,2021,Total,60-65,937
Brasil,Ignorado,2021,Total,66+,0
Brasil,Ignorado,2022,Total,Total,104230
Brasil,Ignorado,2022,Masc,14-19,3488
Brasil,Ignorado,2022,Masc,20-29,15635
Brasil,Ignorado,2022,Masc,30-39,5049
Brasil,Ignorado,2022,Masc,40-49,10556
Brasil,Ignorado,2022,Masc,50-59,9112
Brasil,Ignorado,2022,Masc,60-65,1601
Brasil,Ignorado,2022,Masc,66+,574
Brasil,Ignorado,2022,Fem,14-19,5398
Brasil,Ignorado,2022,Fem,20-29,20112
Brasil,Ignorado,2022,Fem,30-39,14160
Brasil,Ignorado,2022,Fem,40-49,9750
Brasil,Ignorado,2022,Fem,50-59,7998
Brasil,Ignorado,2022,Fem,60-65,641
Brasil,Ignorado,2022,Fem,66+,157
Brasil,Ignorado,2022,Masc,Total,46015
Brasil,Ignorado,2022,Fem,Total,58216
Brasil,Ignorado,2022,Total,14-19,8886
Brasil,Ignorado,2022,Total,20-29,35747
Brasil,Ignorado,2022,Total,30-39,19209
Brasil,Ignorado,2022,Total,40-49,20306
Brasil,Ignorado,2022,Total,50-59,17110
Brasil,Ignorado,2022,Total,60-65,2242
Brasil,Ignorado,2022,Total,66+,730
Brasil,Parda,2012,Total,Total,3570937
