local,raca_cor,ano,idade_mae,nascidos_vivos
Fortaleza,Total,2006,15 a 19 anos,7496
Fortaleza,Total,2007,15 a 19 anos,6739
Fortaleza,Total,2008,15 a 19 anos,6698
Fortaleza,Total,2009,15 a 19 anos,6411
Fortaleza,Total,2010,15 a 19 anos,6011
Fortaleza,Total,2011,15 a 19 anos,6225
Fortaleza,Total,2012,15 a 19 anos,6348
Fortaleza,Total,2013,15 a 19 anos,6044
Fortaleza,Total,2014,15 a 19 anos,6320
Fortaleza,Total,2015,15 a 19 anos,6049
Fortaleza,Total,2016,15 a 19 anos,5672
Fortaleza,Total,2017,15 a 19 anos,5092
Fortaleza,Total,2018,15 a 19 anos,4507
Fortaleza,Total,2019,15 a 19 anos,4193
Fortaleza,Total,2020,15 a 19 anos,3727
Fortaleza,Total,2021,15 a 19 anos,3400
Fortaleza,Total,2022,15 a 19 anos,2978
Fortaleza,Total,1994,Ignorado,2242
Fortaleza,Total,1995,Ignorado,1989
Fortaleza,Total,1996,Ignorado,1883
Fortaleza,Total,1997,Ignorado,1812
Fortaleza,Total,1998,Ignorado,1956
Fortaleza,Total,1999,Ignorado,1571
Fortaleza,Total,2000,Ignorado,311
Fortaleza,Total,2001,Ignorado,100
Fortaleza,Total,2002,Ignorado,121
Fortaleza,Total,2003,Ignorado,129
Fortaleza,Total,2004,Ignorado,112
Fortaleza,Total,2005,Ignorado,90
Fortaleza,Total,2006,Ignorado,18
Fortaleza,Total,2007,Ignorado,1
Fortaleza,Total,2008,Ignorado,4
Fortaleza,Total,2009,Ignorado,2
Fortaleza,Total,2010,Ignorado,7
Fortaleza,Total,2011,Ignorado,6
Fortaleza,Total,2012,Ignorado,5
Fortaleza,Total,2013,Ignorado,-
Fortaleza,Total,2014,Ignorado,10
Fortaleza,Total,2015,Ignorado,6
Fortaleza,Total,2016,Ignorado,1
Fortaleza,Total,2017,Ignorado,-
Fortaleza,Total,2018,Ignorado,-
Fortaleza,Total,2019,Ignorado,-
Fortaleza,Total,2020,Ignorado,-
Fortaleza,Total,2021,Ignorado,-
Fortaleza,Total,2022,Ignorado,-
Fortaleza,Total,1994,Mais de 20 anos,15982
Fortaleza,Total,1995,Mais de 20 anos,21962
Fortaleza,Total,1996,Mais de 20 anos,24624
Fortaleza,Total,1997,Mais de 20 anos,25267
Fortaleza,Total,1998,Mais de 20 anos,29961
Fortaleza,Total,1999,Mais de 20 anos,27956
Fortaleza,Total,2000,Mais de 20 anos,30347
Fortaleza,Total,2001,Mais de 20 anos,32861
Fortaleza,Total,2002,Mais de 20 anos,31097
Fortaleza,Total,2003,Mais de 20 anos,33170
Fortaleza,Total,2004,Mais de 20 anos,32543
Fortaleza,Total,2005,Mais de 20 anos,31125
Fortaleza,Total,2006,Mais de 20 anos,32327
Fortaleza,Total,2007,Mais de 20 anos,30648
Fortaleza,Total,2008,Mais de 20 anos,31705
Fortaleza,Total,2009,Mais de 20 anos,30837
Fortaleza,Total,2010,Mais de 20 anos,30373
Fortaleza,Total,2011,Mais de 20 anos,30940
Fortaleza,Total,2012,Mais de 20 anos,30831
Fortaleza,Total,2013,Mais de 20 anos,30443
Fortaleza,Total,2014,Mais de 20 anos,31483
Fortaleza,Total,2015,Mais de 20 anos,33083
Fortaleza,Total,2016,Mais de 20 anos,31460
Fortaleza,Total,2017,Mais de 20 anos,31353
Fortaleza,Total,2018,Mais de 20 anos,31060
Fortaleza,Total,2019,Mais de 20 anos,30554
Fortaleza,Total,2020,Mais de 20 anos,28443
Fortaleza,Total,2021,Mais de 20 anos,28161
Fortaleza,Total,2022,Mais de 20 anos,26543
Fortaleza,Total,1994,Menor de 10 anos,-
Fortaleza,Total,1995,Menor de 10 anos,-
Fortaleza,Total,1996,Menor de 10 anos,-
Fortaleza,Total,1997,Menor de 10 anos,-
Fortaleza,Total,1998,Menor de 10 anos,-
Fortaleza,Total,1999,Menor de 10 anos,-
Fortaleza,Total,2000,Menor de 10 anos,-
Fortaleza,Total,2001,Menor de 10 anos,-
Fortaleza,Total,2002,Menor de 10 anos,-
Fortaleza,Total,2003,Menor de 10 anos,-
Fortaleza,Total,2004,Menor de 10 anos,-
Fortaleza,Total,2005,Menor de 10 anos,-
Fortaleza,Total,2006,Menor de 10 anos,-
Fortaleza,Total,2007,Menor de 10 anos,-
Fortaleza,Total,2008,Menor de 10 anos,-
Fortaleza,Total,2009,Menor de 10 anos,-
Fortaleza,Total,2010,Menor de 10 anos,-
Fortaleza,Total,2011,Menor de 10 anos,-
Fortaleza,Total,2012,Menor de 10 anos,-
Fortaleza,Total,2013,Menor de 10 anos,-
Fortaleza,Total,2014,Menor de 10 anos,-
Fortaleza,Total,2015,Menor de 10 anos,-
Fortaleza,Total,2016,Menor de 10 anos,2
Fortaleza,Total,2017,Menor de 10 anos,-
Fortaleza,Total,2018,Menor de 10 anos,-
Fortaleza,Total,2019,Menor de 10 anos,-
Fortaleza,Total,2020,Menor de 10 anos,-
Fortaleza,Total,2021,Menor de 10 anos,-
Fortaleza,Total,2022,Menor de 10 anos,-
