local,raca_cor,ano,genero,domestico_cuidado_media_horas
Nordeste,Preta,2017,Total,"17,4"
Nordeste,Parda,2018,Total,"17,3"
Nordeste,Preta,2018,Total,"16,9"
Nordeste,Parda,2019,Total,"17,4"
Nordeste,Preta,2019,Total,"16,6"
Nordeste,Parda,2022,Total,"18,7"
Nordeste,Preta,2022,Total,"18,1"
Brasil,Total,2022,Total,"17,0"
Brasil,Total,2022,Fem,"21,3"
Brasil,Total,2022,Masc,"11,7"
Ceará,Total,2022,Total,"19,5"
Ceará,Total,2022,Fem,"24,4"
Ceará,Total,2022,Masc,"12,6"
Fortaleza,Total,2022,Total,"18,6"
Fortaleza,Total,2022,Fem,"22,9"
Fortaleza,Total,2022,Masc,"12,6"
Nordeste,Total,2022,Total,"18,5"
Nordeste,Total,2022,Fem,"23,5"
Nordeste,Total,2022,Masc,"11,8"
